route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
901,0,,METRO Blue Line,Blue Line - Mpls - Airport - MOA,0,https://www.metrotransit.org/route/blue,0053A0,ffffff,1
902,0,,METRO Green Line,Green Line - Mpls - St Paul,0,https://www.metrotransit.org/route/green,008144,ffffff,3
906,10,,Airport Shuttle,Light Rail Shuttle - Lindbergh - Humphrey,0,https://www.metrotransit.org/route/airprt,0053A0,ffffff,5
903,0,,METRO Red Line,Red Line -  Apple Valley - Eagan - Mall of America,3,https://www.metrotransit.org/route/red,ED1B2E,ffffff,7
904,0,,METRO Orange Line,Orange Line-Mpls-Richfield-Bloomington-Burnsville,3,https://www.metrotransit.org/route/orange,F68A1E,000000,9
921,0,,METRO A Line,A Line - Roseville-Snelling Av 46th St,3,https://www.metrotransit.org/route/aline,7A8690,ffffff,10
923,0,,METRO C Line,C Line - Penn Av - Brooklyn Center,3,https://www.metrotransit.org/route/cline,7A8690,ffffff,12
888,0,,Northstar Commuter Rail,Northstar - Big Lake - Elk River - Anoka - Mpls,2,https://www.metrotransit.org/route/nstar,FFD200,000000,14
887,15,,Northstar Link,Northstar Link - St Cloud Link,3,https://www.metrotransit.org/route/link,FFD200,000000,16
2,0,2,,Franklin Av - Riverside Av - U of M - 8th St SE,3,https://www.metrotransit.org/route/2,,000000,18
3,0,3,,U of M - Como Av - Energy Park Dr - Maryland Av,3,https://www.metrotransit.org/route/3,,000000,20
4,0,4,,Johnson St - Bryant Av - Southtown,3,https://www.metrotransit.org/route/4,,000000,22
5,0,5,,Brooklyn Ctr - Fremont - 26th Av - Chicago - MOA,3,https://www.metrotransit.org/route/5,,000000,24
6,0,6,,U of M - Hennepin - Xerxes - France - Southdale,3,https://www.metrotransit.org/route/6,,000000,26
7,0,7,,Plymouth-27Av-Minnehaha-46St Sta-34Av S-66st/Cedar,3,https://www.metrotransit.org/route/7,,000000,28
9,0,9,,Glenwood-Wayzata Blvd-Cedar Lk Rd-36Av S-46 St Sta,3,https://www.metrotransit.org/route/9,,000000,30
10,0,10,,Central Av - University Av - Northtown,3,https://www.metrotransit.org/route/10,,000000,32
11,0,11,,Columbia Heights - 2nd St NE - 4th Av S,3,https://www.metrotransit.org/route/11,,000000,34
12,0,12,,Uptown - Excelsior Blvd - Hopkins - Opus,3,https://www.metrotransit.org/route/12,,000000,36
14,0,14,,Robbinsdale-West Broadway-Bloomington Av-66St/Ceda,3,https://www.metrotransit.org/route/14,,000000,37
16,2,16,,University Av - Midway,3,https://www.metrotransit.org/route/16,,000000,39
17,0,17,,Minnetonka Blvd - Uptown - Washington St NE,3,https://www.metrotransit.org/route/17,,000000,40
18,0,18,,Nicollet Av -Grand Av - South Bloomington,3,https://www.metrotransit.org/route/18,,000000,42
19,0,19,,Olson Memorial Hwy - Penn Av N - Brooklyn Center,3,https://www.metrotransit.org/route/19,,000000,44
21,0,21,,Uptown - Lake St - Midway - Selby  Av,3,https://www.metrotransit.org/route/21,,000000,45
22,0,22,,Brooklyn Ctr - Lyndale Av N - Cedar - 28 Av S - VA,3,https://www.metrotransit.org/route/22,,000000,47
23,0,23,,Uptown - 38th St - Highland Village,3,https://www.metrotransit.org/route/23,,000000,49
25,0,25,,Northtown - Silver Lake - Stinson - Lake of Isles,3,https://www.metrotransit.org/route/25,,000000,51
27,2,27,,Lake St Sta - 26th St - 28St- I35W/Lake St,3,https://www.metrotransit.org/route/27,,000000,53
30,2,30,,Broadway Crosstown - Westgate Sta,3,https://www.metrotransit.org/route/30,,000000,55
32,0,32,,Robbinsdale - Lowry Av - Rosedale,3,https://www.metrotransit.org/route/32,,000000,57
33,2,33,,Westgate Sta - Elm St - Kasota Av - SE Mpls Indust,3,https://www.metrotransit.org/route/33,,,59
46,0,46,,50St - 46St - 46St Sta - Highland Village,3,https://www.metrotransit.org/route/46,,000000,61
54,0,54,,Ltd Stop - W 7 St - Airport - MOA - Maplewood Mall,3,https://www.metrotransit.org/route/54,,000000,63
61,0,61,,E Hennepin Av - Larpenteur Av - Arcade St,3,https://www.metrotransit.org/route/61,,000000,65
62,0,62,,Shoreview - Little Canada - Rice St - Signal Hills,3,https://www.metrotransit.org/route/62,,000000,67
63,0,63,,Raymond Sta - Grand Av - Sunray,3,https://www.metrotransit.org/route/63,,000000,69
64,0,64,,Payne - Maryland - White Bear Av - Maplewood Mall,3,https://www.metrotransit.org/route/64,,000000,71
65,0,65,,Dale St - Co Rd B - Rosedale,3,https://www.metrotransit.org/route/65,,000000,73
67,2,67,,W Minnehaha Av - Raymond Sta - Franklin Av,3,https://www.metrotransit.org/route/67,,000000,75
68,0,68,,Jackson St - Robert St - W St Paul - Inver Hills,3,https://www.metrotransit.org/route/68,,000000,77
70,0,70,,St Clair Av - W 7th St - Burns Av - Sunray,3,https://www.metrotransit.org/route/70,,000000,79
71,0,71,,Little Canada - Westminster- Concord - Inver Hills,3,https://www.metrotransit.org/route/71,,000000,81
74,0,74,,46th St - Randolph - W 7th St - E 7th St - Sunray,3,https://www.metrotransit.org/route/74,,000000,83
75,0,75,,Stryker - Robert - Mendota Hts - Lake Cove Apts,3,https://www.metrotransit.org/route/75,,000000,85
80,2,80,,Maplewood - White Bear Av - Sunray,3,https://www.metrotransit.org/route/80,,000000,87
83,2,83,,HarMar Target - Lexington Av,3,https://www.metrotransit.org/route/83,,000000,89
84,2,84,,Snelling - Highland Village - Sibley Plaza,3,https://www.metrotransit.org/route/84,,000000,91
87,2,87,,Rosedale - U of M St Paul - Cleveland - Highland,3,https://www.metrotransit.org/route/87,,000000,92
94,0,94,,Express - Mpls - St Paul,3,https://www.metrotransit.org/route/94,,000000,94
113,0,113,,Ltd Stop - Grand Av S - Lyndale Av S - U of M,3,https://www.metrotransit.org/route/113,,000000,96
114,0,114,,Ltd Stop - Excelsior Blvd - Uptown - U of M,3,https://www.metrotransit.org/route/114,,000000,98
120,11,120,,U of M - East Bank Circulator,3,https://www.metrotransit.org/route/120,,000000,100
121,11,121,,U of M - Campus Connector,3,https://www.metrotransit.org/route/121,,000000,102
122,11,122,,U of M - University Ave Circulator,3,https://www.metrotransit.org/route/122,,000000,104
123,11,123,,U of M - 4th Street Circulator,3,https://www.metrotransit.org/route/123,,000000,106
124,11,124,,U of M - Saint Paul Circulator,3,https://www.metrotransit.org/route/124,,000000,108
134,0,134,,Ltd Stop - Highland - Cleveland - Cretin - Mpls,3,https://www.metrotransit.org/route/134,,000000,110
219,2,219,,Maplewood - Century Av - Hadley Av - Sunray,3,https://www.metrotransit.org/route/219,,000000,111
223,2,223,,Rosedale - Little Canada - Maplewood,3,https://www.metrotransit.org/route/223,,000000,113
225,2,225,,Deluxe - Roseville - Coventry - Rosedale,3,https://www.metrotransit.org/route/225,,000000,114
227,2,227,,Target Shoreview - Victoria - Rosedale,3,https://www.metrotransit.org/route/227,,000000,116
250,0,250,,Express - Co Rd C P&R - 95th Av P&R - Mpls,3,https://www.metrotransit.org/route/250,,000000,118
